,cost,degree,trainAcc,valAcc,valPrecision,valRecall,valF1_score,testAcc,testPrecision,testRecall,testF1_score
1,1,1,0.661245537,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
2,11,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
3,21,1,0.661245537,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
4,31,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
5,41,1,0.661245537,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
6,51,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
7,61,1,0.661245537,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
8,71,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
9,81,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
10,91,1,0.661245537,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
11,101,1,0.661245537,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
12,111,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
13,121,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
14,131,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
15,141,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
16,151,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
17,161,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
18,171,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
19,181,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
20,191,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
21,201,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
22,211,1,0.662038873,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
23,221,1,0.662038873,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
24,231,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
25,241,1,0.662038873,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
26,251,1,0.662038873,0.675,0.592207792,0.662790698,0.625514403,0.671819263,0.617414248,0.64109589,0.629032258
27,261,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
28,271,1,0.662038873,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
29,281,1,0.661245537,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.617414248,0.64109589,0.629032258
30,291,1,0.660055534,0.675,0.592207792,0.662790698,0.625514403,0.671819263,0.617414248,0.64109589,0.629032258
31,301,1,0.661642205,0.675,0.592207792,0.662790698,0.625514403,0.671819263,0.617414248,0.64109589,0.629032258
32,311,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
33,321,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
34,331,1,0.661642205,0.675,0.592207792,0.662790698,0.625514403,0.671819263,0.617414248,0.64109589,0.629032258
35,341,1,0.663625545,0.676190476,0.593264249,0.665697674,0.62739726,0.673008323,0.619680851,0.638356164,0.628879892
36,351,1,0.661642205,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
37,361,1,0.662038873,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
38,371,1,0.662038873,0.675,0.592207792,0.662790698,0.625514403,0.671819263,0.617414248,0.64109589,0.629032258
39,381,1,0.660055534,0.675,0.59125964,0.668604651,0.627557981,0.671819263,0.6167979,0.643835616,0.63002681
