,cost,degree,trainAcc,valAcc,testAcc
1,1,1,0.539865133,0.542857143,0.55648038
2,11,1,0.539865133,0.542857143,0.554102259
3,21,1,0.539865133,0.542857143,0.554102259
4,31,1,0.539865133,0.542857143,0.554102259
5,41,1,0.539865133,0.542857143,0.554102259
6,51,1,0.539865133,0.542857143,0.554102259
7,61,1,0.539865133,0.542857143,0.554102259
8,71,1,0.539865133,0.542857143,0.554102259
9,81,1,0.539865133,0.542857143,0.554102259
10,91,1,0.539865133,0.542857143,0.554102259
11,101,1,0.539865133,0.542857143,0.554102259
12,111,1,0.539865133,0.542857143,0.554102259
13,121,1,0.539865133,0.542857143,0.554102259
14,131,1,0.539865133,0.542857143,0.554102259
15,141,1,0.539865133,0.542857143,0.554102259
16,151,1,0.539865133,0.542857143,0.554102259
17,161,1,0.539865133,0.542857143,0.554102259
18,171,1,0.539865133,0.542857143,0.554102259
19,181,1,0.539865133,0.542857143,0.554102259
20,191,1,0.539865133,0.542857143,0.554102259
21,201,1,0.539865133,0.542857143,0.554102259
22,211,1,0.539865133,0.542857143,0.554102259
23,221,1,0.539865133,0.542857143,0.554102259
24,231,1,0.539865133,0.542857143,0.554102259
25,241,1,0.539865133,0.542857143,0.554102259
26,251,1,0.539865133,0.542857143,0.55529132
27,261,1,0.539865133,0.542857143,0.554102259
28,271,1,0.539865133,0.542857143,0.554102259
29,281,1,0.539865133,0.542857143,0.554102259
30,291,1,0.539865133,0.542857143,0.554102259
31,301,1,0.539865133,0.542857143,0.55529132
32,311,1,0.539865133,0.541666667,0.55529132
33,321,1,0.539865133,0.541666667,0.554102259
34,331,1,0.539865133,0.541666667,0.554102259
35,341,1,0.539865133,0.541666667,0.55529132
36,351,1,0.539865133,0.541666667,0.554102259
37,361,1,0.539865133,0.541666667,0.55529132
38,371,1,0.539865133,0.542857143,0.554102259
39,381,1,0.539865133,0.542857143,0.554102259
40,391,1,0.539468465,0.541666667,0.554102259
41,401,1,0.539865133,0.542857143,0.554102259
42,411,1,0.539071797,0.541666667,0.554102259
43,421,1,0.539865133,0.542857143,0.554102259
44,431,1,0.539865133,0.542857143,0.55529132
45,441,1,0.539865133,0.542857143,0.554102259
46,451,1,0.539865133,0.541666667,0.554102259
47,461,1,0.539071797,0.54047619,0.55648038
48,471,1,0.539468465,0.541666667,0.554102259
49,481,1,0.539468465,0.541666667,0.554102259
50,491,1,0.539468465,0.541666667,0.55529132
51,1,2,0.662435541,0.621428571,0.643281807
52,11,2,0.661245537,0.620238095,0.642092747
53,21,2,0.660452202,0.621428571,0.643281807
