,cost,trainAcc,valAcc,testAcc
1,1,0.683855613,0.639285714,0.640903686
2,11,0.756049187,0.696428571,0.682520809
3,21,0.795319318,0.717857143,0.705112961
4,31,0.803649345,0.721428571,0.700356718
5,41,0.812376041,0.719047619,0.707491082
6,51,0.820309401,0.727380952,0.717003567
7,61,0.820309401,0.727380952,0.718192628
8,71,0.831812773,0.738095238,0.72294887
9,81,0.833002777,0.742857143,0.72294887
10,91,0.829829433,0.74047619,0.724137931
11,101,0.831416105,0.741666667,0.724137931
12,111,0.841729472,0.745238095,0.736028537
13,121,0.842522808,0.744047619,0.736028537
14,131,0.847679492,0.753571429,0.741973841
15,141,0.847679492,0.752380952,0.741973841
16,151,0.847679492,0.754761905,0.743162901
17,161,0.855612852,0.746428571,0.739595719
18,171,0.850456168,0.754761905,0.739595719
19,181,0.852439508,0.754761905,0.74078478
20,191,0.85799286,0.748809524,0.738406659
21,201,0.856406188,0.75,0.738406659
22,211,0.85799286,0.752380952,0.739595719
23,221,0.85799286,0.75,0.737217598
24,231,0.862356208,0.745238095,0.743162901
25,241,0.860769536,0.741666667,0.744351962
26,251,0.860769536,0.742857143,0.743162901
27,261,0.86195954,0.744047619,0.743162901
28,271,0.863149544,0.745238095,0.749108205
29,281,0.862752876,0.742857143,0.744351962
30,291,0.867116224,0.745238095,0.745541023
31,301,0.869099564,0.746428571,0.745541023
32,311,0.864736216,0.747619048,0.746730083
33,321,0.869099564,0.746428571,0.746730083
34,331,0.865132884,0.747619048,0.746730083
35,341,0.8698929,0.747619048,0.746730083
36,351,0.8698929,0.747619048,0.745541023
37,361,0.873462912,0.75,0.747919144
38,371,0.8698929,0.747619048,0.744351962
39,381,0.87187624,0.751190476,0.745541023
40,391,0.87187624,0.75,0.743162901
41,401,0.870289568,0.748809524,0.743162901
42,411,0.872669576,0.751190476,0.749108205
43,421,0.87187624,0.75,0.744351962
44,431,0.872669576,0.751190476,0.744351962
45,441,0.872669576,0.751190476,0.746730083
46,451,0.873462912,0.75,0.749108205
47,461,0.873066244,0.75,0.747919144
48,471,0.876636255,0.748809524,0.751486326
49,481,0.877429591,0.748809524,0.751486326
50,491,0.877032923,0.748809524,0.750297265
