,cost,trainAcc,valAcc,valPrecision,valRecall,valF1_score,testAcc,testPrecision,testRecall,testF1_score
1,1,0.793335978,0.771428571,0.692893401,0.793604651,0.739837398,0.768133175,0.709359606,0.789041096,0.747081712
2,11,0.831812773,0.813095238,0.760445682,0.793604651,0.776671408,0.787158145,0.738461538,0.789041096,0.762913907
3,21,0.843316144,0.819047619,0.769662921,0.796511628,0.782857143,0.789536266,0.743523316,0.78630137,0.764314248
4,31,0.84807616,0.820238095,0.770308123,0.799418605,0.784593438,0.787158145,0.7421875,0.780821918,0.761014686
5,41,0.85600952,0.827380952,0.777158774,0.811046512,0.79374111,0.794292509,0.746153846,0.797260274,0.770860927
6,51,0.86195954,0.830952381,0.780555556,0.816860465,0.798295455,0.800237812,0.754521964,0.8,0.776595745
7,61,0.86790956,0.828571429,0.777777778,0.813953488,0.795454545,0.800237812,0.757180157,0.794520548,0.77540107
8,71,0.871082904,0.830952381,0.779005525,0.819767442,0.798866856,0.803804994,0.759067358,0.802739726,0.780292943
9,81,0.873066244,0.83452381,0.782369146,0.825581395,0.803394625,0.804994055,0.762402089,0.8,0.780748663
10,91,0.87385958,0.833333333,0.781767956,0.822674419,0.801699717,0.803804994,0.761780105,0.797260274,0.779116466
11,101,0.877429591,0.832142857,0.778082192,0.825581395,0.80112835,0.804994055,0.766578249,0.791780822,0.778975741
12,111,0.877429591,0.832142857,0.778082192,0.825581395,0.80112835,0.804994055,0.766578249,0.791780822,0.778975741
13,121,0.877826259,0.829761905,0.773841962,0.825581395,0.798874824,0.806183115,0.767195767,0.794520548,0.780619112
14,131,0.879016263,0.830952381,0.775956284,0.825581395,0.8,0.804994055,0.765171504,0.794520548,0.779569892
15,141,0.880999603,0.829761905,0.773841962,0.825581395,0.798874824,0.802615933,0.763925729,0.789041096,0.776280323
16,151,0.885759619,0.832142857,0.775067751,0.831395349,0.802244039,0.801426873,0.763297872,0.78630137,0.77462888
17,161,0.886156287,0.832142857,0.773584906,0.834302326,0.802797203,0.801426873,0.763297872,0.78630137,0.77462888
18,171,0.884569615,0.830952381,0.772972973,0.831395349,0.801120448,0.801426873,0.761904762,0.789041096,0.775235532
19,181,0.888932963,0.83452381,0.774798928,0.840116279,0.806136681,0.802615933,0.765333333,0.78630137,0.775675676
20,191,0.886156287,0.832142857,0.773584906,0.834302326,0.802797203,0.801426873,0.763297872,0.78630137,0.77462888
21,201,0.888536295,0.835714286,0.77688172,0.840116279,0.80726257,0.803804994,0.765957447,0.789041096,0.777327935
