Airport_Code,Airport_ID,is_Hub
ABQ,10140,0
ACY,10158,0
ALB,10257,0
AMA,10279,0
ANC,10299,0
ATL,10397,1
AUS,10423,0
BDL,10529,0
BHM,10599,0
BIL,10620,0
BLI,10666,0
BNA,10693,0
BOI,10713,0
BOS,10721,1
BTR,10781,0
BTV,10785,0
BUF,10792,0
BUR,10800,0
BWI,10821,0
BZN,10849,0
CAE,10868,0
CAK,10874,0
CHS,10994,0
CID,11003,0
CLE,11042,0
CLT,11057,1
CMH,11066,0
COS,11109,0
CVG,11193,0
DAL,11259,0
DAY,11267,0
DCA,11278,1
DEN,11292,1
DFW,11298,1
DSM,11423,0
DTW,11433,1
ECP,11481,0
ELP,11540,0
EUG,11603,0
EWR,11618,1
EYW,11624,0
FAI,11630,0
FAR,11637,0
FAT,11638,0
FLL,11697,0
FNT,11721,0
FSD,11775,0
GEG,11884,0
GRR,11986,0
GSO,11995,0
GSP,11996,0
GUM,12016,0
HNL,12173,0
HOU,12191,0
HPN,12197,0
HSV,12217,0
IAD,12264,1
IAH,12266,1
ICT,12278,0
ILM,12323,0
IND,12339,0
ISP,12391,0
ITO,12402,0
JAN,12448,0
JAX,12451,0
JFK,12478,1
KOA,12758,0
LAS,12889,0
LAX,12892,1
LBB,12896,0
LEX,12945,0
LGA,12953,1
LGB,12954,0
LIH,12982,0
LIT,12992,0
MAF,13158,0
MCI,13198,0
MCO,13204,0
MDT,13230,0
MDW,13232,1
MEM,13244,0
MHT,13296,0
MIA,13303,1
MKE,13342,0
MLI,13367,0
MSN,13485,0
MSP,13487,1
MSY,13495,0
MYR,13577,0
OAK,13796,0
OGG,13830,0
OKC,13851,0
OMA,13871,0
ONT,13891,0
ORD,13930,1
ORF,13931,0
PBI,14027,0
PDX,14057,0
PHL,14100,1
PHX,14107,1
PIE,14112,0
PIT,14122,0
PNS,14193,0
PSP,14262,0
PVD,14307,0
PWM,14321,0
RDU,14492,0
RIC,14524,0
RNO,14570,0
ROC,14576,0
RSW,14635,0
SAN,14679,0
SAT,14683,0
SAV,14685,0
SDF,14730,0
SEA,14747,1
SFB,14761,0
SFO,14771,1
SJC,14831,0
SJU,14843,0
SLC,14869,1
SMF,14893,0
SNA,14908,0
SRQ,14986,0
STL,15016,0
STT,15024,0
SYR,15096,0
TPA,15304,0
TUL,15370,0
TUS,15376,0
TYS,15412,0
XNA,15919,0
