possRoutes,DISTANCE,ROUTES,ROUTESPREV,ADD,DEL,HUBS,DIRECT_COST,SEG_PAX,MKT_PAX
1014010158,0,0,0,0,0,0,0,0,0
1014010257,0,0,0,0,0,0,0,0,0
1014010279,277,1,1,0,0,0,973442.6071,44066,28174
1014010299,0,0,0,0,0,0,0,0,0
1014010397,1269,1,1,0,0,1,11995801.62,151568,150611
1014010423,619,0,0,0,0,0,820952.9035,10677,23703
1014010529,0,0,0,0,0,0,0,0,460
1014010599,0,0,0,0,0,0,0,0,0
1014010620,0,0,0,0,0,0,0,0,151
1014010666,0,0,0,0,0,0,0,0,0
1014010693,0,0,0,0,0,0,0,0,17050
1014010713,0,0,0,0,0,0,0,0,254
1014010721,0,0,0,0,0,1,0,0,1128
1014010781,0,0,0,0,0,0,0,0,0
1014010785,0,0,0,0,0,0,0,0,0
1014010792,0,0,0,0,0,0,0,0,0
1014010800,0,0,0,0,0,0,0,0,4673
1014010821,1670,1,1,0,0,0,4487827.475,47006,49966
1014010849,0,0,0,0,0,0,0,0,19
1014010868,0,0,0,0,0,0,0,0,0
1014010874,0,0,0,0,0,0,0,0,0
1014010994,0,0,0,0,0,0,0,0,0
1014011003,0,0,0,0,0,0,0,0,0
1014011042,1411,1,1,0,0,0,97801.81101,143,614
1014011057,1449,0,0,0,0,1,19304.87345,121,8
1014011066,0,0,0,0,0,0,0,0,869
1014011109,280,1,0,1,0,0,2452.655915,136,0
1014011193,1240,1,1,0,0,0,5334049.935,67009,63034
1014011259,580,1,1,0,0,0,9035912.209,199766,176839
1014011267,0,0,0,0,0,0,0,0,0
1014011278,0,0,0,0,0,1,0,0,3211
1014011292,349,1,1,0,0,1,6863092.377,246496,245075
1014011298,569,1,1,0,0,1,11484654.74,313428,307533
1014011423,0,0,0,0,0,0,0,0,40
1014011433,0,0,0,0,0,1,0,0,2556
1014011481,0,0,0,0,0,0,0,0,0
1014011540,223,1,1,0,0,0,1033456.336,72233,47348
1014011603,0,0,0,0,0,0,0,0,17
1014011618,1805,1,1,0,0,1,484937.4055,3071,5116
1014011624,0,0,0,0,0,0,0,0,0
1014011630,0,0,0,0,0,0,0,0,0
1014011637,0,0,0,0,0,0,0,0,78
1014011638,0,0,0,0,0,0,0,0,0
1014011697,0,0,0,0,0,0,0,0,4053
1014011721,0,0,0,0,0,0,0,0,0
1014011775,0,0,0,0,0,0,0,0,17
1014011884,0,0,0,0,0,0,0,0,35
1014011986,0,0,0,0,0,0,0,0,0
1014011995,0,0,0,0,0,0,0,0,0
1014011996,0,0,0,0,0,0,0,0,0
1014012016,0,0,0,0,0,0,0,0,0
1014012173,0,0,0,0,0,0,0,0,0
1014012191,759,1,1,0,0,0,4727103.629,89349,56629
1014012197,0,0,0,0,0,0,0,0,0
1014012217,0,0,0,0,0,0,0,0,0
1014012264,1628,1,0,1,0,1,1061617.747,9093,10357
1014012266,744,1,1,0,0,1,12298466.91,162718,163591
1014012278,0,0,0,0,0,0,0,0,188
1014012323,0,0,0,0,0,0,0,0,0
1014012339,0,0,0,0,0,0,0,0,6
1014012391,0,0,0,0,0,0,0,0,3296
1014012402,0,0,0,0,0,0,0,0,0
1014012448,0,0,0,0,0,0,0,0,41
1014012451,0,0,0,0,0,0,0,0,627
1014012478,1826,0,0,0,0,1,2972098.219,27141,375
1014012758,0,0,0,0,0,0,0,0,0
1014012889,487,1,1,0,0,0,7858375.738,225243,182389
1014012892,677,1,1,0,0,1,9469861.878,163646,154661
1014012896,289,1,1,0,0,0,920430.3335,42309,18775
1014012945,0,0,0,0,0,0,0,0,0
1014012953,0,0,0,0,0,1,0,0,4137
1014012954,0,0,0,0,0,0,0,0,0
1014012982,0,0,0,0,0,0,0,0,0
1014012992,0,0,0,0,0,0,0,0,200
1014013158,332,1,1,0,0,0,1078507.853,39293,19989
1014013198,718,1,1,0,0,0,3848355.943,72973,44455
1014013204,1552,1,1,0,0,0,7204589.258,80221,64284
1014013230,0,0,0,0,0,0,0,0,0
1014013232,1121,1,1,0,0,1,7093347.736,78104,76508
1014013244,942,0,0,0,0,0,4449.390325,90,245
1014013296,0,0,0,0,0,0,0,0,301
1014013303,0,0,0,0,0,1,0,0,20
1014013342,0,0,0,0,0,0,0,0,59
1014013367,0,0,0,0,0,0,0,0,0
1014013485,0,0,0,0,0,0,0,0,0
1014013487,981,1,1,0,0,1,5141125.69,87897,86242
1014013495,0,0,0,0,0,0,0,0,9981
1014013577,0,0,0,0,0,0,0,0,0
1014013796,889,1,1,0,0,0,5605564.008,82787,84560
1014013830,0,0,0,0,0,0,0,0,0
1014013851,510,0,0,0,0,0,641473.5627,10091,180
1014013871,0,0,0,0,0,0,0,0,114
1014013891,630,0,0,0,0,0,1373941.489,17389,11651
1014013930,1118,1,1,0,0,1,6265893.764,86059,84508
1014013931,0,0,0,0,0,0,0,0,36
1014014027,0,0,0,0,0,0,0,0,0
1014014057,1111,1,1,0,0,0,2302402.207,35093,35176
1014014100,0,0,0,0,0,1,0,0,73
1014014107,328,1,1,0,0,1,13612726.81,526925,451898
1014014112,0,0,0,0,0,0,0,0,0
1014014122,0,0,0,0,0,0,0,0,697
1014014193,0,0,0,0,0,0,0,0,0
1014014262,0,0,0,0,0,0,0,0,88
1014014307,0,0,0,0,0,0,0,0,1
1014014321,0,0,0,0,0,0,0,0,0
1014014492,0,0,0,0,0,0,0,0,196
1014014524,0,0,0,0,0,0,0,0,175
1014014570,0,0,0,0,0,0,0,0,4044
1014014576,0,0,0,0,0,0,0,0,0
1014014635,0,0,0,0,0,0,0,0,83
1014014679,628,1,1,0,0,0,4543449.72,94675,75800
1014014683,609,1,0,1,0,0,682575.2532,7794,24169
1014014685,0,0,0,0,0,0,0,0,114
1014014730,0,0,0,0,0,0,0,0,170
