"possRoutes","DISTANCE","ROUTES","ROUTESPREV","ADD","DEL","HUBS","DIRECT_COST","SEG_PAX","MKT_PAX"
1014010158,0,0,0,0,0,0,0,0,0
1014010257,0,0,0,0,0,0,0,0,1103
1014010279,277,0,0,0,0,0,1441436.75161932,50085,13
1014010299,0,0,0,0,0,0,0,0,0
1014010397,1269,1,1,0,0,1,13889997.243827,134991,135507
1014010423,619,0,0,0,0,0,1070349.52804355,10566,17047
1014010529,0,0,0,0,0,0,0,0,670
1014010599,0,0,0,0,0,0,0,0,54
1014010620,0,0,0,0,0,0,0,0,1
1014010666,0,0,0,0,0,0,0,0,0
1014010693,0,0,0,0,0,0,0,0,2298
1014010713,0,0,0,0,0,0,0,0,894
1014010721,0,0,0,0,0,1,0,0,838
1014010781,0,0,0,0,0,0,0,0,0
1014010785,0,0,0,0,0,0,0,0,0
1014010792,0,0,0,0,0,0,0,0,2
1014010800,0,0,0,0,0,0,0,0,2042
1014010821,1670,1,1,0,0,0,10390396.2585329,70555,62948
1014010849,0,0,0,0,0,0,0,0,0
1014010868,0,0,0,0,0,0,0,0,0
1014010874,0,0,0,0,0,0,0,0,0
1014010994,0,0,0,0,0,0,0,0,50
1014011003,0,0,0,0,0,0,0,0,1
1014011042,1411,0,0,0,0,0,130807.758142399,360,0
1014011057,0,0,0,0,0,1,0,0,0
1014011066,0,0,0,0,0,0,0,0,36
1014011109,280,0,0,0,0,0,3197.74628895662,133,26
1014011193,1240,0,0,0,0,0,9375728.11824095,96268,0
1014011259,580,1,1,0,0,0,20736898.1830539,272101,177586
1014011267,0,0,0,0,0,0,0,0,65
1014011278,0,0,0,0,0,1,0,0,547
1014011292,349,1,1,0,0,1,10926916.1431723,294725,272749
1014011298,569,1,1,0,0,1,14737856.9027702,289485,284446
1014011423,0,0,0,0,0,0,0,0,74
1014011433,0,0,0,0,0,1,0,0,462
1014011481,0,0,0,0,0,0,0,0,199
1014011540,223,1,1,0,0,0,1735919.56824008,55348,27430
1014011603,0,0,0,0,0,0,0,0,0
1014011618,1805,0,0,0,0,1,837829.024664771,4186,852
1014011624,0,0,0,0,0,0,0,0,0
1014011630,0,0,0,0,0,0,0,0,0
1014011637,0,0,0,0,0,0,0,0,0
1014011638,0,0,0,0,0,0,0,0,201
1014011697,0,0,0,0,0,0,0,0,2144
1014011721,0,0,0,0,0,0,0,0,0
1014011775,0,0,0,0,0,0,0,0,75
1014011884,0,0,0,0,0,0,0,0,702
1014011986,0,0,0,0,0,0,0,0,0
1014011995,0,0,0,0,0,0,0,0,0
1014011996,0,0,0,0,0,0,0,0,15
1014012016,0,0,0,0,0,0,0,0,0
1014012173,0,0,0,0,0,0,0,0,0
1014012191,759,1,1,0,0,0,9513032.12111627,103734,87522
1014012197,0,0,0,0,0,0,0,0,0
1014012217,0,0,0,0,0,0,0,0,0
1014012264,1628,1,1,0,0,1,5120803.31839509,37193,39718
1014012266,744,1,1,0,0,1,4446819.89740767,87057,86973
1014012278,0,0,0,0,0,0,0,0,31
1014012323,0,0,0,0,0,0,0,0,0
1014012339,0,0,0,0,0,0,0,0,607
1014012391,0,0,0,0,0,0,0,0,269
1014012402,0,0,0,0,0,0,0,0,0
1014012448,0,0,0,0,0,0,0,0,61
1014012451,0,0,0,0,0,0,0,0,181
1014012478,1826,0,0,0,0,1,3877426.73506996,26860,0
1014012758,0,0,0,0,0,0,0,0,0
1014012889,486,1,1,0,0,0,11867842.8565647,190058,160796
1014012892,677,1,1,0,0,1,16943127.9877204,206115,173399
1014012896,290,1,1,0,0,0,543865.1439894,13753,10340
1014012945,0,0,0,0,0,0,0,0,0
1014012953,0,0,0,0,0,1,0,0,2101
1014012954,0,0,0,0,0,0,0,0,10
1014012982,0,0,0,0,0,0,0,0,0
1014012992,0,0,0,0,0,0,0,0,992
1014013158,332,1,1,0,0,0,828125.157066141,16178,12923
1014013198,718,1,1,0,0,0,4305237.60503341,39500,32288
1014013204,1553,1,1,0,0,0,3685171.70415454,26654,22945
1014013230,0,0,0,0,0,0,0,0,0
1014013232,1121,1,1,0,0,1,8920415.37539269,85597,76335
1014013244,942,0,0,0,0,0,5801.06704591723,89,0
1014013296,0,0,0,0,0,0,0,0,679
1014013303,0,0,0,0,0,1,0,0,0
1014013342,0,0,0,0,0,0,0,0,39
1014013367,0,0,0,0,0,0,0,0,6
1014013485,0,0,0,0,0,0,0,0,91
1014013487,981,1,1,0,0,1,4942710.16085205,59233,61470
1014013495,0,0,0,0,0,0,0,0,1914
1014013577,0,0,0,0,0,0,0,0,0
1014013796,889,1,1,0,0,0,9432268.72944583,91524,78639
1014013830,0,0,0,0,0,0,0,0,1
1014013851,510,0,0,0,0,0,836346.302137987,9986,496
1014013871,0,0,0,0,0,0,0,0,390
1014013891,630,0,0,0,0,0,1791330.07256439,17208,3143
1014013930,1118,1,1,0,0,1,3917550.58653549,61284,61580
1014013931,0,0,0,0,0,0,0,0,718
1014014027,0,0,0,0,0,0,0,0,10
1014014057,1111,1,1,0,0,0,4021552.93489407,36358,30253
1014014100,0,0,0,0,0,1,0,0,944
1014014107,328,1,1,0,0,1,15098937.0122272,370649,325250
1014014112,0,0,0,0,0,0,0,0,0
1014014122,0,0,0,0,0,0,0,0,9
1014014193,0,0,0,0,0,0,0,0,0
1014014262,0,0,0,0,0,0,0,0,58
1014014307,0,0,0,0,0,0,0,0,189
1014014321,0,0,0,0,0,0,0,0,0
1014014492,0,0,0,0,0,0,0,0,353
1014014524,0,0,0,0,0,0,0,0,0
1014014570,0,0,0,0,0,0,0,0,2060
1014014576,0,0,0,0,0,0,0,0,0
1014014635,0,0,0,0,0,0,0,0,34
1014014679,628,1,1,0,0,0,7934232.21493157,91753,72012
1014014683,609,1,0,1,0,0,9223.05288755108,64,15553
1014014685,0,0,0,0,0,0,0,0,0
1014014730,0,0,0,0,0,0,0,0,77
1014014747,1180,1,1,0,0,1,7649221.43539681,67920,53466
1014014761,0,0,0,0,0,0,0,0,0
1014014771,896,1,1,0,0,1,2028130.78276146,18427,22026
1014014831,871,0,0,0,0,0,4940.2477181288,64,6198
1014014843,0,0,0,0,0,0,0,0,0
1014014869,493,1,1,0,0,1,3495219.61096498,81894,76294
1014014893,866,0,0,0,0,0,2088686.75456257,14656,8946
1014014908,0,0,0,0,0,0,0,0,4462
1014014986,0,0,0,0,0,0,0,0,0
1014015016,934,1,1,0,0,0,4385365.59694661,42166,33977
1014015024,0,0,0,0,0,0,0,0,0
1014015096,0,0,0,0,0,0,0,0,0
1014015304,1497,0,0,0,0,0,5017987.63719134,43628,7867
1014015370,608,0,0,0,0,0,953986.356608845,9595,696
1014015376,321,1,1,0,0,0,2708544.99862804,61556,48416
1014015412,0,0,0,0,0,0,0,0,4
1014015919,0,0,0,0,0,0,0,0,0
1015810257,0,0,0,0,0,0,0,0,0
1015810279,0,0,0,0,0,0,0,0,0
1015810299,0,0,0,0,0,0,0,0,0
1015810397,679,1,1,0,0,1,439176.893040973,6603,23713
1015810423,0,0,0,0,0,0,0,0,0
1015810529,0,0,0,0,0,0,0,0,0
1015810599,0,0,0,0,0,0,0,0,0
1015810620,0,0,0,0,0,0,0,0,0
1015810666,0,0,0,0,0,0,0,0,0
1015810693,0,0,0,0,0,0,0,0,0
1015810713,0,0,0,0,0,0,0,0,0
1015810721,274,1,1,0,0,1,321167.736057802,12371,33092
1015810781,0,0,0,0,0,0,0,0,0
1015810785,0,0,0,0,0,0,0,0,0
1015810792,0,0,0,0,0,0,0,0,0
1015810800,0,0,0,0,0,0,0,0,0
1015810821,114,0,0,0,0,0,1160.47553153379,124,0
1015810849,0,0,0,0,0,0,0,0,0
1015810868,0,0,0,0,0,0,0,0,0
1015810874,0,0,0,0,0,0,0,0,0
1015810994,0,0,0,0,0,0,0,0,0
1015811003,0,0,0,0,0,0,0,0,0
1015811042,0,0,0,0,0,0,0,0,0
1015811057,456,0,0,0,0,1,5144.77485646646,138,0
1015811066,0,0,0,0,0,0,0,0,0
1015811109,0,0,0,0,0,0,0,0,0
1015811193,542,0,0,0,0,0,151323.313538277,1471,0
1015811259,0,0,0,0,0,0,0,0,0
1015811267,0,0,0,0,0,0,0,0,0
1015811278,139,0,1,0,1,1,7469.74766932153,145,0
1015811292,0,0,0,0,0,1,0,0,0
1015811298,0,0,0,0,0,1,0,0,1632
1015811423,0,0,0,0,0,0,0,0,0
1015811433,497,1,1,0,0,1,184305.77444758,3971,16330
1015811481,0,0,0,0,0,0,0,0,0
1015811540,0,0,0,0,0,0,0,0,0
1015811603,0,0,0,0,0,0,0,0,0
1015811618,0,0,0,0,0,1,0,0,114
1015811624,0,0,0,0,0,0,0,0,0
1015811630,0,0,0,0,0,0,0,0,0
1015811637,0,0,0,0,0,0,0,0,0
1015811638,0,0,0,0,0,0,0,0,0
1015811697,977,1,1,0,0,0,5317941.21765384,66518,163981
1015811721,0,0,0,0,0,0,0,0,0
