sno,origin,dest,distcalc,origID,destID,year,dist_mi,dcost,segpax,mktpax,orig_income,dest_income,orig_pop,dest_pop,Hub,ecoPerCapita,Tourist,Industry,Label
1,ATL,BOS,1523.098219,10397,10721,2005,946,46330378.41,723284,721833,33698,40476,396311,587260,2,44307.83,1,2,1
2,ATL,BWI,928.5583199,10397,10821,2005,576,26160615.02,628109,643396,33698,35961,396311,621560,1,44307.83,0,1,1
3,ATL,CLT,364.9714406,10397,11057,2005,227,8319089.205,369064,371023,33698,31787,396311,645100,2,44307.83,0,2,1
4,ATL,DCA,881.0818307,10397,11278,2005,547,28174796.9,769053,765646,33698,45000,396311,187760,2,44307.83,1,2,1
5,ATL,DEN,1928.785519,10397,11292,2005,1199,53089110.78,727292,714444,33698,35224,396311,551691,2,44307.83,1,1,1
6,ATL,DFW,1175.854638,10397,11298,2005,732,55493206.4,1144757,1106926,33698,31238,396311,1171519,2,44307.83,0,2,1
7,ATL,DTW,959.2861163,10397,11433,2005,594,25173948.54,498588,497484,33698,32254,396311,837407,2,44307.83,0,2,1
8,ATL,EWR,1200.665347,10397,11618,2005,745,47431271.55,837773,836856,33698,34138,396311,274218,2,44307.83,1,2,1
9,ATL,FLL,937.4835362,10397,11697,2005,581,33895262.49,1009991,1005118,33698,40581,396311,173314,1,44307.83,1,1,1
10,ATL,HNL,7241.978977,10397,12173,2005,4502,29893935.22,158259,181865,33698,38102,396311,918181,1,44307.83,1,2,0
11,ATL,IAD,859.9403238,10397,12264,2005,533,25974063.41,594384,619119,33698,45000,396311,567136,2,44307.83,1,2,1
12,ATL,IAH,1108.803079,10397,12266,2005,689,22934420.43,419707,436738,33698,29663,396311,1995773,2,44307.83,0,2,1
13,ATL,JFK,1223.45747,10397,12478,2005,760,9367931.25,217901,237602,33698,37876,396311,8013368,2,44307.83,1,2,0
14,ATL,LAS,2807.995574,10397,12889,2005,1747,65318756.77,756108,777340,33698,30075,396311,550857,1,44307.83,1,2,1
15,ATL,LAX,3129.212272,10397,12892,2005,1946,82445417.81,884707,850688,33698,44200,396311,3788197,2,44307.83,1,2,1
16,ATL,LGA,1226.247266,10397,12953,2005,761,56330140.27,1126194,1121613,33698,37876,396311,8013368,2,44307.83,1,2,1
17,ATL,MCO,651.4603354,10397,13204,2005,403,32253351.07,1347176,1339350,33698,28698,396311,223410,1,44307.83,1,2,1
18,ATL,MDW,953.0461335,10397,13232,2005,590,19737248.63,333918,348153,33698,33736,396311,2752523,2,44307.83,1,2,1
19,ATL,MIA,960.1305502,10397,13303,2005,595,30460882.85,833335,829692,33698,30200,396311,382198,2,44307.83,1,2,1
20,ATL,MSP,1461.347516,10397,13487,2005,906,35505417.62,518060,548950,33698,36808,396311,376937,2,44307.83,0,1,1
21,ATL,ORD,977.7120477,10397,13930,2005,606,35155985.3,796789,799016,33698,33736,396311,2752523,2,44307.83,1,2,1
22,ATL,PDX,3493.030762,10397,14057,2005,2172,22069827.08,187789,189177,33698,31999,396311,538053,1,44307.83,0,2,0
23,ATL,PHL,1072.83258,10397,14100,2005,665,39875387.94,778747,779521,33698,34480,396311,1490861,2,44307.83,1,2,1
24,ATL,PHX,2551.912814,10397,14107,2005,1587,40386486.4,472960,466846,33698,30145,396311,1417720,2,44307.83,0,1,1
25,ATL,SAN,3041.064805,10397,14679,2005,1891,40766536.43,403601,400532,33698,34343,396311,1257278,1,44307.83,1,2,1
26,ATL,SEA,3509.128778,10397,14747,2005,2182,38339087.19,344117,342429,33698,37040,396311,573336,2,44307.83,0,2,1
27,ATL,SFO,3438.571797,10397,14771,2005,2139,60957182.44,553222,538787,33698,43543,396311,763016,2,44307.83,1,2,1
28,ATL,SLC,2556.450842,10397,14869,2005,1589,47074211.61,565935,561136,33698,27984,396311,180488,2,44307.83,1,1,1
29,ATL,TPA,655.6713188,10397,15304,2005,406,25124935.48,1002977,1000896,33698,30331,396311,326829,1,44307.83,1,2,1
30,BOS,BWI,594.5714358,10721,10821,2005,370,10815799.66,280093,273322,40476,35961,587260,621560,1,44307.83,1,1,0
31,BOS,CLT,1171.829303,10721,11057,2005,728,14903302.27,330559,318664,40476,31787,587260,645100,2,44307.83,1,2,0
32,BOS,DCA,642.0286267,10721,11278,2005,399,13956463.29,446368,453674,40476,45000,587260,187760,2,44307.83,2,2,1
33,BOS,DEN,2818.808381,10721,11292,2005,1754,25008894.93,260223,263634,40476,35224,587260,551691,2,44307.83,2,1,0
34,BOS,DFW,2511.943267,10721,11298,2005,1562,36636352.05,384759,384327,40476,31238,587260,1171519,2,44307.83,1,2,1
35,BOS,DTW,1016.031857,10721,11433,2005,632,11126161.98,274137,271326,40476,32254,587260,837407,2,44307.83,1,2,0
36,BOS,EWR,322.5027129,10721,11618,2005,200,4662218.349,316155,311552,40476,34138,587260,274218,2,44307.83,2,2,0
37,BOS,FLL,1996.373563,10721,11697,2005,1237,27407474.96,408827,411710,40476,40581,587260,173314,1,44307.83,2,1,1
38,BOS,HNL,8195.361588,10721,12173,2005,0,0,0,21,40476,38102,587260,918181,1,44307.83,2,2,0
39,BOS,IAD,664.2252305,10721,12264,2005,413,11472070.93,368823,359702,40476,45000,587260,567136,2,44307.83,2,2,1
40,BOS,IAH,2570.371654,10721,12266,2005,1597,19376081.57,174267,175782,40476,29663,587260,1995773,2,44307.83,1,2,0
41,BOS,JFK,300.3564699,10721,12478,2005,187,2785280.056,164109,170987,40476,37876,587260,8013368,2,44307.83,2,2,0
42,BOS,LAS,3826.889602,10721,12889,2005,2381,27305212.77,212003,212185,40476,30075,587260,550857,1,44307.83,2,2,0
43,BOS,LAX,4197.573046,10721,12892,2005,2611,49261453.5,347700,359257,40476,44200,587260,3788197,2,44307.83,2,2,1
44,BOS,LGA,296.8564705,10721,12953,2005,185,9795040.327,734201,734899,40476,37876,587260,8013368,2,44307.83,2,2,1
45,BOS,MCO,1807.819041,10721,13204,2005,1121,31317695.46,513739,523961,40476,28698,587260,223410,1,44307.83,2,2,1
46,BOS,MDW,1382.973335,10721,13232,2005,861,5632839.893,124507,118204,40476,33736,587260,2752523,2,44307.83,2,2,0
47,BOS,MIA,2030.378718,10721,13303,2005,1258,23092790.88,322787,318770,40476,30200,587260,382198,2,44307.83,2,2,0
48,BOS,MSP,1806.187513,10721,13487,2005,1124,12679987.72,208710,210534,40476,36808,587260,376937,2,44307.83,1,1,0
49,BOS,ORD,1392.669899,10721,13930,2005,867,42489694.42,775202,759373,40476,33736,587260,2752523,2,44307.83,2,2,1
50,BOS,PDX,4076.818666,10721,14057,2005,2537,3857339.108,31474,2608,40476,31999,587260,538053,1,44307.83,1,2,0
51,BOS,PHL,450.4451586,10721,14100,2005,280,10900468.56,549469,521500,40476,34480,587260,1490861,2,44307.83,2,2,1
52,BOS,PHX,3697.790874,10721,14107,2005,2300,12116636.84,95926,99130,40476,30145,587260,1417720,2,44307.83,1,1,0
53,BOS,SAN,4160.431173,10721,14679,2005,2588,7465616.94,52587,56220,40476,34343,587260,1257278,1,44307.83,2,2,0
54,BOS,SEA,4010.144694,10721,14747,2005,2496,9049781.118,82475,92842,40476,37040,587260,573336,2,44307.83,1,2,0
55,BOS,SFO,4346.039864,10721,14771,2005,2704,54076462.68,358209,363662,40476,43543,587260,763016,2,44307.83,2,2,1
56,BOS,SLC,3383.255326,10721,14869,2005,2105,9940724.568,92060,92759,40476,27984,587260,180488,2,44307.83,2,1,0
57,BOS,TPA,1910.427185,10721,15304,2005,1185,16713221.32,265235,268549,40476,30331,587260,326829,1,44307.83,2,2,0
58,BWI,CLT,581.353618,10821,11057,2005,361,7517572.277,313156,297184,35961,31787,621560,645100,1,44307.83,0,1,0
59,BWI,DCA,48.10825335,10821,11278,2005,30,3043.431955,473,2,35961,45000,621560,187760,1,44307.83,1,1,0
60,BWI,DEN,2396.232507,10821,11292,2005,1491,22314066.36,261654,257617,35961,35224,621560,551691,1,44307.83,1,0,0
61,BWI,DFW,1956.949178,10821,11298,2005,1217,31079930.09,394755,390680,35961,31238,621560,1171519,1,44307.83,0,1,1
62,BWI,DTW,657.4788682,10821,11433,2005,408,4878900.932,184440,181896,35961,32254,621560,837407,1,44307.83,0,1,0
63,BWI,EWR,272.1070924,10821,11618,2005,169,849021.3277,52375,51751,35961,34138,621560,274218,1,44307.83,1,1,0
64,BWI,FLL,1494.371808,10821,11697,2005,925,18174456.74,275338,265668,35961,40581,621560,173314,0,44307.83,1,0,0
66,BWI,IAD,72.97523776,10821,12264,2005,45,3096.949167,48,17,35961,45000,621560,567136,1,44307.83,1,1,0
67,BWI,IAH,1988.001568,10821,12266,2005,1235,16719023.88,211745,210941,35961,29663,621560,1995773,1,44307.83,0,1,0
68,BWI,JFK,295.6981721,10821,12478,2005,184,97476.52597,5479,19929,35961,37876,621560,8013368,1,44307.83,1,1,0
69,BWI,LAS,3384.928574,10821,12889,2005,2106,24296307.16,219317,235059,35961,30075,621560,550857,0,44307.83,1,1,0
70,BWI,LAX,3744.034165,10821,12892,2005,2329,21192201.04,166762,176059,35961,44200,621560,3788197,1,44307.83,1,1,0
71,BWI,LGA,297.7693282,10821,12953,2005,185,35358.19177,1907,277,35961,37876,621560,8013368,1,44307.83,1,1,0
72,BWI,MCO,1270.397322,10821,13204,2005,787,26708048.86,467532,448228,35961,28698,621560,223410,0,44307.83,1,1,1
73,BWI,MDW,981.6562589,10821,13232,2005,611,9303824.909,252497,209518,35961,33736,621560,2752523,1,44307.83,1,1,0
74,BWI,MIA,1527.632109,10821,13303,2005,946,6751096.976,127414,125656,35961,30200,621560,382198,1,44307.83,1,1,0
75,BWI,MSP,1505.304213,10821,13487,2005,936,9671819.256,166550,165354,35961,36808,621560,376937,1,44307.83,0,0,0
76,BWI,ORD,999.3023117,10821,13930,2005,621,15311604.63,393560,390383,35961,33736,621560,2752523,1,44307.83,1,1,1
77,BWI,PDX,3790.127925,10821,14057,2005,0,0,0,12946,35961,31999,621560,538053,0,44307.83,0,1,0
78,BWI,PHL,145.0626098,10821,14100,2005,90,398473.529,64533,57251,35961,34480,621560,1490861,1,44307.83,1,1,0
79,BWI,PHX,3213.306115,10821,14107,2005,1998,32859987.18,314373,287484,35961,30145,621560,1417720,1,44307.83,0,0,0
80,BWI,SAN,3689.710464,10821,14679,2005,2295,8930723.886,74417,85959,35961,34343,621560,1257278,0,44307.83,1,1,0
81,BWI,SEA,3752.534717,10821,14747,2005,2335,1565321.316,11495,9396,35961,37040,621560,573336,1,44307.83,0,1,0
82,BWI,SFO,3948.774481,10821,14771,2005,2457,5746296.326,40871,45129,35961,43543,621560,763016,1,44307.83,1,1,0
83,BWI,SLC,2996.829023,10821,14869,2005,1864,7421684.743,76654,85078,35961,27984,621560,180488,1,44307.83,1,0,0
84,BWI,TPA,1359.411632,10821,15304,2005,842,17789094.92,271748,261039,35961,30331,621560,326829,0,44307.83,1,1,0
85,CLT,DCA,533.2458821,11057,11278,2005,331,5325313.903,260241,250279,31787,45000,645100,187760,2,44307.83,1,2,0
86,CLT,DEN,2150.621432,11057,11292,2005,1338,18646266.37,237545,236332,31787,35224,645100,551691,2,44307.83,1,1,0
87,CLT,DFW,1504.89465,11057,11298,2005,936,22828542.18,339729,332348,31787,31238,645100,1171519,2,44307.83,0,2,1
88,CLT,DTW,806.6211099,11057,11433,2005,500,7344097.491,161131,159551,31787,32254,645100,837407,2,44307.83,0,2,0
89,CLT,EWR,851.2508375,11057,11618,2005,529,10633343.99,260879,255608,31787,34138,645100,274218,2,44307.83,1,2,0
90,CLT,FLL,1020.404166,11057,11697,2005,631,12307893.94,343059,334214,31787,40581,645100,173314,1,44307.83,1,1,1
92,CLT,IAD,517.9999841,11057,12264,2005,321,7598706.623,276895,273104,31787,45000,645100,567136,2,44307.83,1,2,0
93,CLT,IAH,1468.536437,11057,12266,2005,913,11023533.55,146128,142941,31787,29663,645100,1995773,2,44307.83,0,2,0
94,CLT,JFK,871.5054408,11057,12478,2005,541,19663.14902,49,12159,31787,37876,645100,8013368,2,44307.83,1,2,0
95,CLT,LAS,3080.062096,11057,12889,2005,1916,21249203.32,197604,194875,31787,30075,645100,550857,1,44307.83,1,2,0
96,CLT,LAX,3416.293223,11057,12892,2005,2125,18490919.43,184387,181034,31787,44200,645100,3788197,2,44307.83,1,2,0
97,CLT,LGA,875.9220945,11057,12953,2005,544,12991490.82,381371,398077,31787,37876,645100,8013368,2,44307.83,1,2,1
98,CLT,MCO,756.031206,11057,13204,2005,468,11187520.26,424484,411514,31787,28698,645100,223410,1,44307.83,1,2,1
99,CLT,MDW,941.228576,11057,13232,2005,584,29099.17199,820,866,31787,33736,645100,2752523,2,44307.83,1,2,0
100,CLT,MIA,1050.557847,11057,13303,2005,650,11402351.57,243912,238549,31787,30200,645100,382198,2,44307.83,1,2,0
101,CLT,MSP,1497.74918,11057,13487,2005,930,10458868.04,128946,130545,31787,36808,645100,376937,2,44307.83,0,1,0
102,CLT,ORD,965.9605618,11057,13930,2005,599,19230899.25,424880,420513,31787,33736,645100,2752523,2,44307.83,1,2,1
103,CLT,PDX,3668.56739,11057,14057,2005,2282,1367142.164,10630,79,31787,31999,645100,538053,1,44307.83,0,2,0
104,CLT,PHL,722.3291096,11057,14100,2005,448,9439184.886,362362,352807,31787,34480,645100,1490861,2,44307.83,1,2,1
105,CLT,PHX,2851.551668,11057,14107,2005,1774,12755372.87,135600,134360,31787,30145,645100,1417720,2,44307.83,0,1,0
106,CLT,SAN,3339.092146,11057,14679,2005,2077,7944347.033,72020,72275,31787,34343,645100,1257278,1,44307.83,1,2,0
107,CLT,SEA,3664.72877,11057,14747,2005,2279,7672221.996,66697,66313,31787,37040,645100,573336,2,44307.83,0,2,0
108,CLT,SFO,3691.110543,11057,14771,2005,2296,18756674.57,175489,173267,31787,43543,645100,763016,2,44307.83,1,2,0
109,CLT,SLC,2776.690739,11057,14869,2005,1727,3324050.979,38573,467,31787,27984,645100,180488,2,44307.83,1,1,0
110,CLT,TPA,819.7155906,11057,15304,2005,508,9104644.079,327574,315602,31787,30331,645100,326829,1,44307.83,1,2,0
111,DCA,DEN,2371.840451,11278,11292,2005,1476,12543831.05,144739,165191,45000,35224,187760,551691,2,44307.83,2,1,0
112,DCA,DFW,1917.081075,11278,11298,2005,1192,35257325.56,459312,457887,45000,31238,187760,1171519,2,44307.83,1,2,1
113,DCA,DTW,651.9671362,11278,11433,2005,405,9194442.71,328185,313822,45000,32254,187760,837407,2,44307.83,1,2,0
114,DCA,EWR,319.7004081,11278,11618,2005,199,1882890.646,122390,121994,45000,34138,187760,274218,2,44307.83,2,2,0
115,DCA,FLL,1452.123666,11278,11697,2005,899,13464953.95,233132,212961,45000,40581,187760,173314,1,44307.83,2,1,0
117,DCA,IAD,38.08532763,11278,12264,2005,24,916.5888864,97,207,45000,45000,187760,567136,2,44307.83,2,2,0
118,DCA,IAH,1943.801677,11278,12266,2005,1208,21476458.25,277449,275740,45000,29663,187760,1995773,2,44307.83,1,2,0
119,DCA,JFK,342.5949155,11278,12478,2005,213,1486325.833,79745,77894,45000,37876,187760,8013368,2,44307.83,2,2,0
120,DCA,LAS,3357.346902,11278,12889,2005,2089,5121092.309,39380,41151,45000,30075,187760,550857,1,44307.83,2,2,0
121,DCA,LAX,3714.980785,11278,12892,2005,2311,3893552.007,32231,37645,45000,44200,187760,3788197,2,44307.83,2,2,0
122,DCA,LGA,345.1723179,11278,12953,2005,214,10363382.83,683626,684438,45000,37876,187760,8013368,2,44307.83,2,2,1
123,DCA,MCO,1225.500564,11278,13204,2005,759,9965974.472,193777,188084,45000,28698,187760,223410,1,44307.83,2,2,0
124,DCA,MDW,965.4688333,11278,13232,2005,601,4394263.114,143527,132620,45000,33736,187760,2752523,2,44307.83,2,2,0
125,DCA,MIA,1485.269246,11278,13303,2005,920,14919951.81,310161,308820,45000,30200,187760,382198,2,44307.83,2,2,0
126,DCA,MSP,1496.495323,11278,13487,2005,931,13175338.69,259566,262828,45000,36808,187760,376937,2,44307.83,1,1,0
127,DCA,ORD,983.9285943,11278,13930,2005,612,28841034.07,720686,710767,45000,33736,187760,2752523,2,44307.83,2,2,1
128,DCA,PDX,3777.405829,11278,14057,2005,2350,2047061.643,16306,317,45000,31999,187760,538053,1,44307.83,1,2,0
129,DCA,PHL,191.8564097,11278,14100,2005,119,668763.6902,81831,78286,45000,34480,187760,1490861,2,44307.83,2,2,0
130,DCA,PHX,3181.247908,11278,14107,2005,1979,15108319.55,129282,128868,45000,30145,187760,1417720,2,44307.83,1,1,0
131,DCA,SAN,3658.860136,11278,14679,2005,2276,3176111.331,24482,5198,45000,34343,187760,1257278,1,44307.83,2,2,0
132,DCA,SEA,3742.514176,11278,14747,2005,2329,9709325.954,80092,77030,45000,37040,187760,573336,2,44307.83,1,2,0
133,DCA,SFO,3925.334931,11278,14771,2005,2442,4657066.101,32029,5658,45000,43543,187760,763016,2,44307.83,2,2,0
134,DCA,SLC,2975.366466,11278,14869,2005,1851,4114637.701,43223,44040,45000,27984,187760,180488,2,44307.83,2,1,0
135,DCA,TPA,1313.350906,11278,15304,2005,814,7593586.053,146022,144215,45000,30331,187760,326829,1,44307.83,2,2,0
136,DEN,DFW,1033.23962,11292,11298,2005,641,33206806.82,801780,784769,35224,31238,551691,1171519,2,44307.83,1,1,1
137,DEN,DTW,1804.32737,11292,11433,2005,1123,17753434.72,280195,278991,35224,32254,551691,837407,2,44307.83,1,1,0
138,DEN,EWR,2579.30582,11292,11618,2005,1605,24683428.3,253726,254138,35224,34138,551691,274218,2,44307.83,2,1,0
139,DEN,FLL,2742.099679,11292,11697,2005,1703,10380670.64,109308,106128,35224,40581,551691,173314,1,44307.83,2,0,0
140,DEN,HNL,5413.927243,11292,12173,2005,3365,15578484.55,82135,94085,35224,38102,551691,918181,1,44307.83,2,1,0
141,DEN,IAD,2333.889923,11292,12264,2005,1452,33315552.71,380867,371435,35224,45000,551691,567136,2,44307.83,2,1,1
142,DEN,IAH,1389.045727,11292,12266,2005,862,26087166.55,514866,510490,35224,29663,551691,1995773,2,44307.83,1,1,1
143,DEN,JFK,2612.713529,11292,12478,2005,1626,9033780.879,109865,111161,35224,37876,551691,8013368,2,44307.83,2,1,0
144,DEN,LAS,1010.512261,11292,12889,2005,629,26013469.12,728023,705178,35224,30075,551691,550857,1,44307.83,2,1,1
145,DEN,LAX,1386.624444,11292,12892,2005,862,45374056.62,874379,846357,35224,44200,551691,3788197,2,44307.83,2,1,1
146,DEN,LGA,2602.735434,11292,12953,2005,1619,31186198.71,333905,332560,35224,37876,551691,8013368,2,44307.83,2,1,1
147,DEN,MCO,2489.140008,11292,13204,2005,1546,24941516.47,298808,293888,35224,28698,551691,223410,1,44307.83,2,1,0
148,DEN,MDW,1438.948516,11292,13232,2005,895,18921627.3,388474,374814,35224,33736,551691,2752523,2,44307.83,2,1,1
149,DEN,MIA,2751.774003,11292,13303,2005,1709,11358443.44,118973,120721,35224,30200,551691,382198,2,44307.83,2,1,0
150,DEN,MSP,1093.589053,11292,13487,2005,680,28360195.2,690729,667578,35224,36808,551691,376937,2,44307.83,1,0,1
151,DEN,ORD,1427.488107,11292,13930,2005,888,48991308.95,876769,851246,35224,33736,551691,2752523,2,44307.83,2,1,1
152,DEN,PDX,1593.906701,11292,14057,2005,991,28267782.07,467929,456488,35224,31999,551691,538053,1,44307.83,1,1,1
153,DEN,PHL,2503.213388,11292,14100,2005,1557,32435734.48,355553,354462,35224,34480,551691,1490861,2,44307.83,2,1,1
154,DEN,PHX,969.6078576,11292,14107,2005,602,27690085.35,782444,759991,35224,30145,551691,1417720,2,44307.83,1,0,1
155,DEN,SAN,1372.833325,11292,14679,2005,853,20788910.02,395555,393381,35224,34343,551691,1257278,1,44307.83,2,1,1
156,DEN,SEA,1647.135619,11292,14747,2005,1024,38476018.2,636117,617980,35224,37040,551691,573336,2,44307.83,1,1,1
157,DEN,SFO,1554.51217,11292,14771,2005,967,39505013.02,683197,669555,35224,43543,551691,763016,2,44307.83,2,1,1
158,DEN,SLC,628.2694297,11292,14869,2005,390,12870771.49,460597,442062,35224,27984,551691,180488,2,44307.83,2,0,1
159,DEN,TPA,2425.219158,11292,15304,2005,1506,15522359.98,193238,189294,35224,30331,551691,326829,1,44307.83,2,1,0
160,DFW,DTW,1588.199506,11298,11433,2005,987,22574921.24,342486,342960,31238,32254,1171519,837407,2,44307.83,0,2,1
