City,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Atlanta,407646,403080,397365,396311,403548,410086,414233,417090,420003,432135,444032,448409,456002
Los Angeles,3762432,3784279,3792650,3788197,3767960,3751872,3763566,3781938,3792621,3826423,3861678,3897940,3928864
Chicago,2847266,2819117,2786291,2752523,2720181,2703991,2697359,2697006,2695598,2705627,2715415,2722307,2722389
Fort Worth,585542,602759,619117,637139,662346,685762,706526,727257,741206,761895,778728,794055,812238
New York,8072000,8068073,8043366,8013368,7993906,8013775,8068195,8131574,8175133,8287238,8365903,8438379,8491079
Denver,556790,552588,550756,551691,556895,564395,575721,589011,600158,619390,633868,648401,663862
San Francisco  ,772723,766160,761325,763016,768650,778673,791152,801922,805235,816239,829691,841138,852469
Charlotte,601869,613674,626629,645100,669217,691568,709993,724333,731424,756204,774969,793951,809958
Las Vegas,509298,520769,537788,550857,566221,578302,584400,585381,583756,588257,596384,603670,613599
Phoenix,1357196,1368806,1386945,1417720,1441241,1450901,1456729,1452679,1445632,1465114,1489531,1512442,1537058
Houston,1990408,1992464,1991817,1995773,2038721,2044612,2060477,2087334,2099451,2129784,2164834,2203806,2239558
Miami,371246,374387,377924,382198,385314,386814,389996,394347,399457,412438,416917,421363,430332
Seattle,566945,566751,568719,573336,580609,586956,593588,604189,608660,622175,635063,653404,668342
Newark,275201,275757,275176,274218,273210,273282,273789,275843,277140,277854,278289,279468,280579
Orlando,205278,209470,215457,223410,228762,231266,233467,235918,238300,243787,250136,255432,262372
Minneapolis,381535,380189,378749,376937,376495,377575,379185,381638,382578,388253,392966,400647,407207
Detroit,905996,884411,861186,837407,811922,784998,756383,731155,713777,702149,696746,686674,680250
Boston,599301,595864,591166,587260,587816,593136,600685,612669,617594,630645,640839,649917,655884
Philadelphia,1498493,1493802,1492882,1490861,1488710,1493309,1499731,1514694,1526006,1539313,1550396,1556052,1560297
New York,8072000,8068073,8043366,8013368,7993906,8013775,8068195,8131574,8175133,8287238,8365903,8438379,8491079
Fort Lauderdale,172436,173403,173334,173314,173624,171153,167628,166177,165404,169045,171380,173105,176013
Glen Burnie,,,,,,,,,,,,,
Dulles,,,,,,,,,,,,,
Chicago,2847266,2819117,2786291,2752523,2720181,2703991,2697359,2697006,2695598,2705627,2715415,2722307,2722389
Salt Lake City,180809,180075,179836,180488,182106,183318,184283,185543,186440,188158,189448,191282,190884
Arlington (country of va),190137,188735,187901,187760,188176,190759,196305,202637,207627,216603,221947,226012,226908
Honolulu,890473,894311,907997,918181,926954,925335,933680,943177,953207,342179,345661,348782,350399
San Diego,1251808,1254603,1256969,1257278,1257625,1266198,1282692,1295591,1307402,1321016,1339644,1359844,1381069
Tampa,311395,314812,320346,326829,331642,332024,332173,333871,335709,346934,349069,352999,358699
Portland,540833,542496,536636,538053,544669,555306,566850,578104,583776,593859,602954,609520,619360
